riddle,choice0,choice1,choice2,choice3,choice4,label
"My 1, 6, 7, 8 can a-maize. My 5, 6, 9, 3 is a fencing sword. My 5, 6, 1, 2, 3 has a point. My 6, 4, 3 was the need of the Tin Man. My 5, 3, 10, 8 is a Spanish dessert. My whole is a U.S. State.",Florida,Vermont,California,Ohio,Texas,2
"I can hurt, I can help, I'm kind, Sometimes I'm not, I can be said, You can hear me, Yet you can't see neither touch me. What am I?",daughter,slur,term,word,sister,3
"Can you figure out what the following paragraph is about?  Wiggle jiggle, yellow middle, that's the best of what you are. White and tender, surround the center, cozy sitting in a crackling shell. Vitamins  and minerals in you. Oodles of the proteins, too! Come in to my tummy, oh so very yummy.",beans,bacon,eggs,avocado,chicken,2
"I can be short, but I can be long. I will get ticked off if I hear an alarm. I start in 60 seconds and am gone in 60 seconds.  In New York it is all in the way some perceive me.  What am I?",favorite,mile,millisecond,halfway,minute,4
"Santa rides this to bring the toys. With the reindeer's help, it doesn't make much noise.",sleigh,snowman,horse,Santa,reindeer,0
I have a long sticky tongue and four legs. What am I?,ostrich,hippo,squirrel,elephant,giraffe,4
It's in your hand though you cannot feel it. Only you and time can reveal it.,hyphen,visual novel,fate,comma,damnation,2
You are falling out of a window. What season is it?,fall,mountain,rise,slip,volcano,0
"I am one, though worth a thousand, Usually a memory, sometimes surrounded .By the remnants of a long-gone tree; A portion of time is captured by me.",picture,comma,selfie,thumbnail,hyphen,0
People who make it don't want it. People who buy it don't use it. People who use it don't know it. What is this item?,driveway,trash,hearse,dogshit,garbage,4
What does the Griffin family have that the Simpson family does not?,silhouette,talking dog,cartoon character,sky,magic powers,1
What age most travelers have?,infatuation,dining,guilt,baggage,suitcase,3
"Little Nancy Etticote, in a white petticoat. With a red nose; the longer she stands, the shorter she grows.",candle,torch,comma,wind,hyphen,0
What is both possible and impossible at the same time?,inevitability,scarcity,impossibility,impossible,improbability,2
I'm sometimes made into a coin. And sometimes into an ingot. When at the end of a rainbow. I am what is inside the pot. What am I?,gold,iron,platinum,silver,diamond,0
"What word am I thinking of?  Take a large body of water, The middle of your apple, Take one end of peep.And the middle too. What word am I thinking of?",scarf,ceiling,costume,cape,door,3
"They go up and down at times in succession.  Arrangements baffle some, but are pleasing to others.  They may be seen and heard, but not felt by hand or tasted.  What are they?",soundwaves,music notes,ukulele,Atlantic,highway,1
In the morning I sing on feathered wing. I soar through the air without a care. What am I?,peacock,squirrel,snake,rabbit,bird,4
"""What does the ""H"" in ""IHU"" stand for?""",hear,cant,Hawaii,Maine,say,0
Without what would everyone lose their head?,forearm,head,envy,gorgeous,neck,4
"I can flutter and take your breath away. I can take a beating, but do not bruise. If I stopped you would be sure to lose. Everyday I am with you. What am I?",before,heart,stomach,blood,second,1
"I am sometimes white but usually black. I take you there, but I never bring you back. What am I?",garbage truck,casket,minivan,driveway,hearse,4
"I hide in a dark tunnel awaiting my time. I can only be released by pulling back. Once released, I may do unstoppable damage. What am I?",arrow,shrapnel,bullet,buckshot,ramrod,2
"With hands, measure them.With care, break them.With hope, play them.But it is often prudent to hold them. What are they?",castle,rabbits,pigs,horses,sword,3
"I am a riddle that the answer is gone. Get it right, you have until dawn. What is it?",compass,risen,gone,island,forgotten,2
"Two men are in a desert. They both have packs on. One of the guys is dead. The guy who is alive has his pack open, the guy who is dead has his pack closed. What is in the pack?",parachute,crane,rocket,helicopter,airplane,0
Soda Soup Trash Tin,sky,cans,silhouette,cartons,bottles,1
The white house are made out of white bricks. The orange house is made out of orange bricks. The purple house is made out of purple bricks. What was the green house made out of!,foam,lava,water,glass,glacier,3
"I’m a word, six letters long; I sometimes enter with a gong. All in order from A to Z, I start with the letter B. What is the word?",ends,aunt,begins,disappears,sister,2
Who can you not marrying?,The Holidays,Hanukkah,Christmas,Thanksgiving,Halloween,2
"You breathe out, I breathe in. You let go, I breathe out. What am I?",parachute,blimp,poison,balloon,gravity,3
"Bloody paste and wine gone bad, Sugar and spice within are had, In packs it lives from day to day, In bottles, too, it strives to stay. What is it?",fries,mustard,macaroni,ketchup,cheese,3
I am the thing that is used to make your weight. What am i?,air resistance,geometry,gravity,helium balloon,buoyancy,2
"Who hates girls, but loves walls?",cartoon,Donald Trump,Hillary Clinton,television,Joe Biden,1
"I am most often seen in the service of gentlemen. Though I am no dog, I stand and sit on command. Though I am no musician, when I stand, people say I'm sharp, and when I sit, people call me flat. But no matter if I sit or stand, you'll probably see me 'round. What am I?",Atlantic,Top hat,monocle,beret,highway,1
A canvas full of stars.,horizon,clouds,sky,sun,moon,2
"Place your fingers in my eyes, and I will open my jaws to devour paper and cloth. What am I?",pliers,scissors,fingernail,tweezers,dental floss,1
Restroom Counter Gate Depart,taxi,food court,airport,hotel,subway,2
"What has a face, but no head; hands, but no feet; yet travels everywhere and is usually running?",watch,live,clouds,binge,sky,0
What has four fingers and a thumb but is not alive?,jock strap,catcher,envy,gorgeous,glove,4
"""What is ""ammo""?""",cannon,ammunition,weapon,firearms,guns,1
This is found in your body. From your feet up to your head. It is a type of liquid. And it is the color red. What am I?,semen,kidney,blood,saliva,urine,2
"Everyday you see it, but do not pay close attention to it. It changes colour as the day passes but always returns to the same colour as it was before.",sky,clouds,sun,moon,horizon,0
"What moves faster than the speed of light, something that a camera produces and is red and yellow?",flash,burst,favorite,halfway,daredevil,0
"I always wait unit you're off guard or get older so you can become easier to attack. Once your body is weak, I strike inside you and try to kill you.   What am i",bronchitis,fever,rabies,pneumonia,vomiting,1
"Sometimes skin is scraped off, Sometimes nails are pulled off. Sometimes hair is pulled out, Sometimes hot wax is applied to bare skin. But always there is an application of withering heat. Sometimes the person is encased in an apparatus to make only a particular body part hot. It varies, it could  be feet, hands or head. No one is spared, and sometimes many body parts get the heat treatment. It's a controlled heat, not meant to kill. Yet, women have dyed here.  Those who satisfy the demands for money get to leave, but all show the effects of what they've undergone, and all feel definitely hotter. What is this place?",nail salon,childhood,imagination,beauty shop,hair dresser,3
"What can't you see, hear or feel, until it’s too late. What shadows love, and shopkeepers hate?",robber,thief,murderer,burglar,shopkeeper,1
"""What does the ""O"" in ""OG"" stand for?""",unique,original,classic,cartoon,clone,1
Look for pairs within my tiles. I am a game that brings fun and lots of smiles. What am I?,Mahjong,poker,Monopoly,Tetris,Catan,0
"I can hold you prisoner Or set you free I can swing with ease (Though not from a tree) I have many shapes I have many sizes Yet, til we shake hands I'll hide my surprises. What am I?",door,stairwell,window,hallway,garage,0
What am I?,discussion,suggestion,comma,hyphen,question,4
"What is black and white , can swim but never walks.",killer whale,dolphin,shark,alligator,squirrel,0
What is lighter than air but can never be lifted?,cone,well,cutter,bubble,canister,3
"I have a pet, his body is full of coins.",accountant,coffers,debt,savings account,piggy bank,4
It describes an era in history during which lights was hard to come by.,sky,modern era,dark ages,silhouette,renaissance,2
Tomorrow Is Neither Wednesday Nor Thursday. Yesterday Was Not Friday Or Saturday. Today Is Not Thursday Nor Monday Nor Sunday. What Day Is Today?,Saturday,Monday,Thursday,Sunday,Friday,4
"To some people I bring laughs, For others tears. I can be about the future, Or about past years. I can be educational, Or just plain dumb. Come see me with friends, You are sure to have fun. What am I?",tv series,theater,screenplay,Aladdin,movie,4
They're a nuisance at times.But mostly a blessing.They bring joy to our hearts .Even if they are fussy. They're called gifts from above.And it's got to be true. Because it's an incredible miracle.If one's given to you.,Atlantic,highway,babies,puppies,newborns,2
What can you catch but not throw?,warm,humid,rainstorm,cold,winter,3
What has a bottom at the top?,legs,ankles,torso,hyphen,comma,0
I can't see yet I know your there. I'm not a cow but I'm leather. I'm a rare find but follow paths. I can fly but I'm not a bird. What am I?,pillow,homerun,hitter,shoulder,bat,4
"I pass before the sun, yet make no shadow. What am I?",rain,comma,water,wind,hyphen,3
"""What is a ""let down""?""",disappointment,sadness,hyphen,frustration,comma,0
"Get me to drink, Look through me to see. As I drop get a broom, Sweep, sweep, sweep. Sand my friend, floor my foe. What am I?",foam,glass,glacier,lava,water,1
"""What does the second ""W"" in ""WWW"" stand for?""",easy,tall,clever,wide,large,3
This baked dish consists of an opentopped pastry case with a savory or sweet filling.,cheesecake,fondue,pancakes,flan,chocolate,3
Lettuce Carrot Cucumber Stringbean,vegetables,broccoli,carrots,tomatoes,rice,0
There was a plane crash and every single person died. Who survived?,Atlantic,highway,Married couples,marriages,divorces,2
"I am used for light yet I am solid. Without me you would feel enclosed. I hate being touched, especially with a lot of force. I like to be in buildings. What am I?",ceiling,curtains,balcony,window,door,3
What has a foot but no leg?,jupiter,emperor,ruler,pencil,monarch,2
You're gonna need a bigger boat to go after one of these toothy hunters.,crocodile,sharks,dolphins,alligator,warriors,1
I cannot be burned in fire or drowned in water. What am I?,glacier,puck,ice,lava,snow,2
What has an eye but can not see?,price,needle,fingernail,tweezers,syringe,1
"If it's a course due west or due east you chart.Then a crossing of me will not be a part. I span the globe, as schoolchildren are aware.Yet in the real world, you will not find me there. I've no start nor end, but infinite I'm not.A value of zero is all that I got. What am I?",tropics,troposphere,Antarctica,northern hemisphere,equator,4
Sal I run. What is the anagram word?,isolated,xenophobic,insular,politics,esoteric,2
What is made of wood but no saw on earth is sharp enough to cut?,manure,sawdust,charcoal,wood,compost,1
"I have a foot, yet no legs. I have a house yet no furniture. I choose to be on the move, but moving isn't so easy. What am I?",snail,bee,lizard,frog,turtle,0
"A riddle game is played below, Can you name this charming fellow?  Someone looks me in the eye.I know who, and I know why.I know them well, and they know me.A very special bond, have we. We share the same thoughts, and the same place.We agree always in every case.Linked to the very last degree.If I should die then so would he. I never see my friend once blink.Nor twice nor ever, I should think.Though I will see him sometimes wink.But I see him come to the very brink.Of when his eyes will finally blink. Everyone has a friend like mine.Some hate them, some think them fine.Some people love them more than air.Whilst others wish they were not there. Mine will not move without consent.Though I could not make him repent.I like him, though, for when I smile.He smiles back for all the while",agony,mirror,purity,reflection,lens,3
I am the building with number stories. Find me who am I?,corset,library,underwear,documents,bookstore,1
A large oasis in the desert. Come with cash and leave with none. What am I?,hyphen,Chicago,Seattle,comma,Las Vegas,4
"Walk on the living, they don't even mumble. Walk on the dead, they mutter and grumble.",clouds,moon,stays,leaves,leaving,3
"I lie a lot, and have to be removed to move. Lots of people love me and love my lies. I am very soft and many things get lost in me.  What am I?",baseboards,carpet,bed sheets,curtain,mattress,1
"Green but not a lizard, white without being snow, and bearded without being a man.",broccoli,cabbage,asparagus,leek,garlic,3
"I open wide and tight I shut, sharp am I and papercut fingers too. So do take care, I'm good and bad, so best beware.",scissors,fingernail,tweezers,dental floss,pliers,0
What flower would remind you of a certain animal that took a great deal of care about his appearance?,sunflowers,tiger,violets,dandelion,hyena,3
I can distract you and I can hurt you.  You always check me out regularly.  What am I?,device,tablet,speaker,recorder,phone,4
What do you call a man with no shins?,Thor,Steve,quill,Cap,Tony,4
Water dwelling mammal known for its work ethic.,duck,deer,moose,beaver,squirrel,3
"If you aim to give us a shot, we'll riddle you.What are we?",headshots,ramrod,bullets,arrow,grenades,2
"I run cold and hot, I look blue but am red. What am I?",semen,urine,saliva,blood,kidney,3
"From house to house he goes, A messenger often small and slight. And whether it rains or snows, He sleeps outside at night. What is he?",roadway,rainstorm,sidewalk,bike lane,mud,2
Grub is a term for what?,cafeteria,food,meals,ihop,meat,1
"""What are you if you're ""BZ""?""",busy,Atlantic,overworked,highway,preoccupied,0
"What is born long, dies short, and spends its life leaving a trail?",eraser,pencil,crayon,paintbrush,sharpie,1
"Innocent prisoners held by everyone.Yet the day of our release is usually a sad one.Hide us or embrace us, it's your choice.But deep inside you lies the truth's voice.We can't feel, speak, see or hear.Yet we make a big statement the second we appear",hyphen,sweat,comma,laughter,tears,4
"Always wooden and covered in paint. It can make you laugh or hide, because something dark is inside. What is it?",pencil,paintbrush,crayon,sharpie,eraser,0
Someone who is enthusiastic about tending the garden is said to have this appendage.,green thumb,moon,clouds,fruit trees,orchids,0
I'm a weight on your shoulders and only bring you down. My only weakness is above you. What am I?,gravity,geometry,helium balloon,air resistance,buoyancy,0
What do race car drivers eat for breakfast?,ihop,chain restaurants,Fast food,buffets,cafeteria,2
Lights downfall and shadows pride,silhouette,sky,evening,morning,night,4
"I have existed for centuries, but last only a month. What am I?",eclipses,zodiac,clown,liar,lunar cycle,4
"If I'm behind I speed up, if I'm in front I speed up, but if you ignore me your in trouble.   What am I?",highway,Atlantic,Stop sign,red light,freeway,2
I start at rd and end at green?  What am i,banana,cucumber,watermelon,grape,pineapple,2
"Like a middle pillar I stand among 6, all 9 of my characters make me the largest to exist.",Thursday,Tuesday,wednesday,tomorrow,friday,2
"John works in a butchers shop. He is 1m 25cm tall, wears a size 7 shoes. What does he weigh?",beef,second,meat,before,chicken,2
Ca Ca Ca Ca Ca Ca Ca Ca Ca,canine,raccoon,rabbit,animal,dog,0
What type of dress can never be worn?,address,Atlantic,solve,acknowledge,highway,0
What gets shorter when you close your arm?,drawstring,sleeve,hoodie,armor,sword,1
"When the creeper passes, all the grass kneels.",ride,Atlantic,highway,plow,blast,3
"Destroyer of the unbreakable, more of me is hidden than seen.",iceberg,lava,ocean,glacier,island,0
I am mostly seen outside. I will brighten up your day. Sometimes I will even hide.or chase away the grey.,moon,sun,Friday,Thursday,night sky,1
"I am a queen, beautiful and .Covered with a sweet fragrance, Guarded by five guardsmen, Two of them clean-shaven, Two of them unshaven, And the last one half-shaven. What am I?",escalator,fell,rose,stairs,spiked,2
"As soft as silk, as white as milk, as bitter as gall, a thick green wall, and a green coat covers me all.",wood,oak,cashew,cedar,walnut,4
I am the only organ in the human body that gave itself it's own name. What am I?,serotonin,brain,neurons,hyphen,comma,1
I have a toungue but cannot talk. I have no legs but sometimes walk. What am I?,sandal,shoe,pants,sock,laces,1
What goes through a door but never goes in and never comes out?,sliding door,flap,Hawaii,keyhole,Maine,3
Something you carry while singing.,urine,riff,tune,downpipe,kidney,2
What measures out time until in time all is smashed to it?,rocks,pants,mud,shoe,sand,4
"My first is at the beginning of race, My second at the end of face. My third is at the beginning of a word in a question, The fourth is in a word for ""to question"". My fifth is in race, yet not in ace, And for the last, I am starting done. What am I?",boundaries,prize,civil,reward,survival,3
What did the moutian climber name his son?,ledge,mountain,cliff,waterfall,hill,2
"I tear paper but I'm not mad, I wear a purse but it's not a fad.Who am I?",train,station,comma,subway,hyphen,0
"It can be said: To be gold is to be good; To be stone is to be nothing; To be glass is to be fragile; To be cold is to be cruel; Unmetaphored, what am I?",blood,second,stomach,before,heart,4
"Who is bigger: Mr. Bigger, Mrs. Bigger, or their baby?",daughter,fetus,Atlantic,highway,baby,4
You use me. I keep you neat. Every once in a while you empty me out. What am i?,eraser,screwdriver,sharpie,paintbrush,pencil sharpener,4
"It's shorter than the rest, but when you're happy, you raise it up like it's the best. What is it?",moon,clouds,thumb,tongue,cake day,2
"Paint me up to look real good, Then take me to the shop to maintain under the hood. Use a small brush to make no mistake, Or just replace me with something fake.What am I?",toothpick,fingernail,eyeball,razor blade,tweezers,1
One word in this sentence is misspelled. What word is it?,misspelled,typo,winter,rainstorm,spelt,0
"I saw a strange creature, Long, hard, and straight, Thrusting in a round, dark, opening, Preparing to discharge its load of lives, Puffing and squealing noises accompanied it, Then a final screech as it slowed and stopped.",hyphen,elevator,comma,airport,subway train,4
"I often hang upside down.High, high above the ground.I'm in books, movies, television, too.Where I often scare you.When you are awake I am asleep .I don't make a single peep.But during the night I do hunt.For flies and fruit that I can munch.Some say that I am in disguise .That I can metamorphasize. What am I?",bat,shoulder,pillow,hitter,homerun,0
"There is a green house, inside it there is white house, inside it there is red house and inside it there are lots of black babies. ??????? Who I am???",grape,cucumber,banana,watermelon,pineapple,3
"What has an eye, but cannot see, and leaves destruction in its path?",hurricane,sandal,tornado,shoulder,earthquake,0
People always ask for me even though they don't like to face me.  What am I?,truth,facts,liar,ignorance,lies,0
"The names of three trees are hidden in the sentences below. The letters are in consecutive order. Can you find them? On this farm, we get ham from a hog any time. The farmer will help in every possible way. He faced two very similar choices, both bad.",walnut,wood,maple,mahogany,cedar,3
What does a snowman eat for breakfast?,fragile,snowflakes,bigots,retards,haters,1
"""Fifteen decades by a tree Cryptically expresses me ""� A garment worn in times of old, Five letters long, I keep out cold.""",door,cape,cloak,invisibility,ceiling,2
"This food is a chop of pork cut perpendicularly to the spine of the pig and usually containing a rib or part of a vertebra, served as an individual portion.",steaks,ground beef,parachute,pork chops,crane,3
The edge of earth and bread.,frosting,crust,wood,engine,toppings,1
Your driving a bus and at the first stop 6 people get off and five people get on the second stop 3 people get on and 8 people get off the third stop 5 people got on and five people got off what is the name of  the bus driver?,alias,will,doubt,name,u/,3
I'm blue at day and black at night; I do contain some creatures born and died. What am I?,chlorides,chloramines,Sea water,cucumber,grape,2
What walks on four legs in the morning and two legs in the afternoon and three legs at night.,Oedipus,Odysseus,Shakespeare,Cleopatra,Freud,0
"I grow on trees, I make some people wheeze. I can be brown or black, I can be used as a snack. Some animals bite me, some animals hide me. They save me for Winter deep in the ground, the start to dig down down down. For humans I have a very good taste, sometimes they throw out a part in the waste! What am I?",flange,screw,nut,lava,glacier,2
His big belly supposedly has the ability to dispense good fortune.,Jesus,Aristotle,Buddha,Vishnu,Krishna,2
If you are a man then your best friend will eat this for dinner.,silhouette,sky,kibble,dog food,chicken nuggets,3
"I welcome the day with a show of light, I steathily came here in the night. I bathe the earthy stuff at dawn, But by the noon, alas! I'm gone. What am I?",supplication,sagebrush,mud,rainstorm,morning dew,4
"I am here all the time, Even if you can not see me, I appear to be as big as a dime, I am able to do something different, But closer than another galaxy, I am important in your life, In more than just a couple ways. Am I the Sun, a Planet, or the Moon?",sun,Thursday,night sky,Friday,moon,0
What has one foot and no legs but carries its house?,bee,frog,snail,turtle,lizard,2
Orangutans Chimanzees Gorillas Humans,marsupials,reptiles,mammals,primates,gorillas,3
I am cracked by Indiana Jones. What am I?,hand,sandal,bust,shoulder,whip,4
What is a comedians favourite food?,butter,macaroni,ketchup,bacon,cheese,4
What has teeth but no mouth?,saw,said,sky,clouds,came,0
When you bend me I'm kind But I'm very hard to find I'm easily sold and rhyme with this when told. What am I?,iron,silver,gold,platinum,diamond,2
I am like the sparkling treasure. I can imitate someone. I am a rainbow god. I can see your beauty. I can give you a shield from gadgets. But my bones may break if you fall me.   Who am I??,lava,glacier,foam,water,glass,4
I go into the water black and come out red. What am I?,shrimp,steak,lobster,crab,salmon,2
"You eat something you neither plant nor plow. It is the son of water, but if water touches it. It dies. What is it?",garlic,lemon juice,salt,celery,olive oil,2
I'm pulled along from way up high. I clean the shore like a janitor guy. Sometimes wet and sometimes dry. What am I?,flood,toothpaste,ocean,tide,sea,3
What do you call a boomerang that doesn't work?,Atlantic,stick,switch,keep,highway,1
"I come in a box, my brother with me. Often times we're strung up halfway. Many activities determine my name. I'm sure you use me every day. What am I?",shoe,laces,sock,sandal,pants,0
"My first master has four legs, my second master has two. My first I serve in life, my second I serve in death. Tough I am, yet soft beside. Against ladies cheeks I often reside.",wool,eyelids,hair,fur,antlers,3
"At the end of my yard there is a vat, four-and-twenty ladies dancing in that; Some in green gowns, and some with blue hat; He is a wise man who can tell me that.",cashew,flax,berries,coconut,oats,1
Fast Rapid Swift Hurrying,comma,interpret,hyphen,express,offend,3
What invention lets you look right through a wall?,balcony,ceiling,curtains,door,window,4
You will see two of me. When you attend a wedding. I'm not a bride and groom. Who am I?,will,doubt,rings,necklaces,earrings,2
"Every time you stand up, you lose this. What is it?",pillow,hairpin,shoulder,couch,lap,4
You hold me in the darkest times when you are scared you pick me up and I love you,plush toy,tissue box,teddy bear,stuffed animal,pillow,2
What sings and has ten feet?,four,quartet,orchestra,quintet,six,3
"You use me daily, but if you arrive safely, I am never used. What am I?",sunset,sky,Seat belt,jaylen,silhouette,2
"I am bacterial waste, oh yes, But just what type, can you guess? Some put me on their fish and chips, Others on floors to prevent slips. Some put me on salads, some in stews, Some on windows, even shoes. So I'm bacterial waste, oh yes, But my name can you guess?",plant,vinegar,soy sauce,sunflower,olive oil,1
The eight of us go forth not back to protect our king from a foe's attack. What are we?,guitar,npcs,pawns,percussion,cannon fodder,2
"I'm fat and I'm round and I cause much joy, I'm often a dogs favorite toy.  What am I?",ball,chicken,backboard,avocado,goal line,0
"What goes up a mountain, down a mountain, but never moves?",highway,journey,Atlantic,path,pursuit,3
"I'm called a man, But I'll never have a wife. I was given a body, But not given life. They made me a mouth, But I wasn't given breath. Water gives body, And sun gives me death. What am I?",marshmallow,icicle,penguin,scarecrow,snowman,4
What key is playful?,gorilla,monkey,Maine,Hawaii,lizard,1
When it's gone bad and flat I hate it but when it's fresh and fizzy I love to taste it. what am i talking about?,sugar,vodka,soda,skittles,beer,2
I started of as a sapling You can project your imagination onto me Scribes used to use me I’m your pencil’s partner,rumor,napkin,idk,paper,whiteboard,3
What is the scariest side of a haunted house?,behind,underneath,outside,inside,trunk,3
"At the touch of a button, a moment is captured. A marriage, a birth or a birthday I see. Later, an image might leave thee enraptured, All due to a flash, or a mere click indeed. Yet some people say that I am quite evil, That my staring eye might just capture your soul! At least to my knowledge it is utter nonsense, Only moments I capture, that is my sole goal.",camera,viewfinder,microphone,camcorder,tripod,0
Body of Steel  Spits out Fire Feared by Man No Trace of Wire,sword,firearm,pistol,armor,gun,4
"When I move, I tip the scales. I am the source of many tales. Around your foot, a sign of wealth. Around a stick, a sign of health. Around your chest, your final breath. On your neck, say hi to death. What am I?",snake,spider,lizard,bird,rat,0
"What fruit is green in the inside and green on the outside, and has a big seed?",broccoli,avocado,salad,tomato,celery,1
"What grows on a tree, Scares a robber, and has travelled the far seas?",bark,hair,twigs,eyelids,moss,0
What has a lot to say  but can't be heard  because it can't speak one single word?,thumbnail,comma,selfie,hyphen,picture,4
"There's not a kingdom on the earth, but I have traveled over and over, and though I know not whence my birth, yet when I come, you know my roar. I through the town do take my flight, and through the fields and meadows green, and whether it be day or night, I neither am nor can be seen.",rain,hyphen,water,comma,wind,4
I run in and out of town all day and night but I never get tired.  What am I?,streets,highway,sidewalks,roads,bike lanes,3
"Paint me up and I am pretty, File me down and I am healthy, But cut too much and pain I bring. What is this mysterious thing?",razor blade,eyeball,toothpick,fingernail,tweezers,3
"No matter how hard you try, I can open what you can't. If it wasn't for me, on your front porch you would stand. What am I?",spacebar,ignition,key,Maine,Hawaii,2
"If you blow past your destination, you'll have to throw your car into this.",flip,modify,escalator,reverse,stairs,3
Cantonese Mandarin Shanghainese Taiwanese,dialects,English,pronunciations,language,native speakers,0
"When one person enters the house, he screams. The other is shocked. The third becomes pale. The last one freezes. What kind of house is it?",amusement park,horror movie,surgeon,dentist,haunted house,4
I have stripes but I'm not a zebra. I look like a hook but have nothing to do with Peter Pan. I'm normally red and white but I'm not the Canadian flag. I can be eaten but I'm not a strawberry jelly sandwich. I'm minty but I'm the opposite of toothpaste. What am I?,candy cane,marshmallow,sandal,skittles,shoulder,0
"There's one of me for everything, though only four are we. O'er and o'er we repeat, cycling endlessly. But then, I am an act you'll do, when standing at the range. One word, and yet, I've meanings two. I hope it's not too strange.",daughter,sister,episode,opulence,season,4
What tastes better than it smells?,tongue,napkin,lips,tounge,tortillas,3
"I am both a killer and a savior, it depends on those who wield me. I will bring you from deep water to the shallows, or maybe I could be the one who will hang you in the gallows. What am I?",pole,shoulder,pillow,rope,noose,3
I am neither a guest nor a trespasser in this place. I belong that belongs to me. Where is it?,home,hyphen,apartment,cottage,comma,0
"I have palms but not on hands, I offer foods from distant lands, When at my peak you'll see me smoke, I'm famous for my friendly folk, My flowers grow and yet they lay, There's fire where a man will play. What am I?",Texas,Hawaii,Oklahoma,California,Florida,1
"I come across as flat, But theirs more to me than my surface; You climb my moutains from top to bottom, And fall from bottom to top. What am I?",lake,island,beach,ocean,river,3
"The part of the bird.not in the sky, which can swim in the ocean.and always stay dry",shadow,storm,sky,silhouette,glow,0
"This is something you see in the sky. You'll need more hints though so I'll explain. Its sometimes fluffy and sometimes gray. And can release snow, hail or rain",sun,sky,sunset,meteors,clouds,4
"I start and end.With ""S"", you see. I have 6 letters. What could I be?  If you want a clue.To make it better, There's a mile between.My first and last letter. What am I?",cheeks,lips,stares,nods,smiles,4
"A planet I am.Soaked in red.And shaped of love, as well. I am sprinkled with many, many.Rocks. I have a core.But hot it is not.And grass covers my top.",watermelon,hazelnut,strawberry,mango,blueberry,2
He's small but he can climb a tower.,Christmas,sleigh,spider,bee,ant,4
What can be right but never wrong?,perpendicular,ellipse,right angle,comma,hyphen,2
